2025-08-20 09:33:14,339 INFO [RRN] OCR front=82**** len=6 | EXP front=82**** len=6
2025-08-21 09:50:00,089 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:17:20,197 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:26:23,768 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:26:40,942 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:26:49,414 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:27:00,267 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:27:10,784 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:27:23,761 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 10:42:47,799 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 12:10:41,552 INFO [RRN] OCR front=18**** len=6 | EXP front=90**** len=6
2025-08-21 12:11:12,002 INFO [RRN] OCR front=91**** len=6 | EXP front=90**** len=6
2025-08-21 12:19:16,427 INFO [RRN] OCR front=01**** len=6 | EXP front=90**** len=6
2025-08-21 12:19:31,572 INFO [RRN] OCR front=01**** len=6 | EXP front=90**** len=6
2025-08-21 12:19:56,714 INFO [RRN] OCR front=01**** len=6 | EXP front=90**** len=6
2025-08-21 12:21:13,378 INFO [RRN] OCR front=01**** len=6 | EXP front=90**** len=6
2025-08-21 12:21:33,199 INFO [RRN] OCR front=01**** len=6 | EXP front=90**** len=6
2025-08-21 14:24:46,770 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:25:13,393 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:25:18,019 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:25:35,025 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:26:02,137 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:26:07,720 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:26:17,036 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:26:29,851 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:26:54,016 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:27:08,788 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:27:22,352 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:28:33,897 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:43:54,643 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:44:21,854 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:44:45,069 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:45:05,098 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:45:19,492 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:45:48,601 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:46:02,896 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:46:20,015 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:46:41,336 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:46:59,999 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:47:20,688 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:47:41,791 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:48:02,572 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
2025-08-21 14:48:11,292 INFO [RRN] OCR front=01**** len=6 | EXP front=01**** len=6
