input_text,target_text
전 세계 공항라운지 무료 이용되는 카드는 어떤게 있나요?,"당행상품 중, 전 세계 공항라운지 무료 이용되는 카드는 플래티늄카드가 있습니다.
단, 신용카드 실적에 따라 무료 제공 횟수가 상이하니 참고바랍니다.
▶ 상세 내용은 서식/약관/자료실 -> 카드 -> 상품설명서 참고바랍니다.
▶ 플래티늄카드의 경우, 영업점 발급만 가능합니다."
아파트 관리비 할인되는 카드는 어떤게 있나요?,"현재 당행 상품 중, 할인되는 카드는 BNK 부자되세요 아파트카드, ZipL 신용카드가 있습니다.
▶ 상세 내용은 서식/약관/자료실 -> 카드 -> 상품설명서 참고바랍니다.
▶ BNK 부자되세요 아파트카드는 영업점 발급만 가능하며, ZipL 신용카드는 인터넷뱅킹/모바일뱅킹/영업점 모두 발급 가능합니다."
카드결제계좌 변경은 어떻게 하나요?,"카드결제계좌 변경은 가까운 영업점 방문 또는 모바일뱅킹, 고객센터에서 가능합니다.
▶ 모바일뱅킹 > 카드 > 이용금액결제 > 결제정보관리
▶ 부산은행 고객센터(☎1588-6200)"
SMS (휴대폰문자 바로알림서비스)의 신청은 어디서 하나요?,"비씨카드사 홈페이지 또는 비씨카드사 ARS (☎1588-4466), 가까운 영업점 방문하여 신청 가능합니다.
▶ 개인, 가족카드: 비씨카드사
▶ 기업 지정카드1588-4466 및 영업점방문
▶ 기업 공용카드: 가까운 영업점 ,BC카드사 법인홈페이지(wisebiz.bccard.com)"
SMS(휴대폰문자 바로알림서비스)의 이용수수료는 얼마인가요?,"■ 개인카드: 월 300원
 - 월 최초 사용한 카드(비씨회원사 통합)로 매월의 이용료 300원을 2개월 뒤에 청구
 - 가족카드: 무료이용 (가족회원이 본인명의 카드 신규 시 유료로 전환)
※ 무료SMS: 건별 5만원 이상 승인거래만 발송
■ 기업 사용자지정카드: 월 400원 (회원번호당)
 - 휴대폰번호 추가할 경우 번호별 부과
■ 기업 공용카드: 월 400원 (카드당)
※ 기업회원 무료SMS 신청 불가"
체크카드를 사용하면 유리한 점이 무엇인가요?,이용 즉시 계좌에서 출금되어 연체부담 없는 계획적인 소비생활이 가능합니다.
체크카드를 발급 받으려면 발급 자격이 어떻게 되나요?,"체크카드는 만14세 이상 발급 가능하며, 만12~13세 발급 시 법정대리인만신청 가능합니다. (미성년자 단독신청 불가)
단, 후불교통카드가 포함된 체크카드는 만18세 이상 발급 가능합니다.
※ 은행연합회 등 불량정보등재자는 발급 제외"
분실된 체크카드의 재발급은 어떻게 해야 하나요?,"본인 신분증 지참하여 가까운 영업점 방문 시 즉시 발급(수수료 1천원) 가능하며, 인터넷(모바일)뱅킹, 고객센터를 통하여 분실재발급 신청 가능합니다.
■ 비대면 분실재발급 가능 체크카드
 - 오늘은 e카드, 청춘불패369, 마이존, 하이체크, 동백전, DingDing"
카드 사용한도가 부족하여 한도를 올리고자 합니다. 어떻게 해야 할까요?,"카드 사용한도는 카드 이용실적, 한도소진율, 연체유무 등을 감안하여 고객 동의 시 정기적으로 한도 상향 가능하며, 고객요청 시(카드 관리점 신청) 월 소득, 사용실적 등을 심사하여 상향가능합니다."
체크카드는 연회비가 있나요?,"체크카드는 별도의 연회비가 없습니다.(발급 수수료 1천원 발생)
단, 하이체크글로벌카드(국내외겸용)의 경우 연회비 1천원(발급비용 없음)이 발생합니다."
카드 분실(도난)신고후 다른사람이 제 카드를 사용했을 때 보상은 어떻게 받을 수 있나요?,"분실신고일 이전 60일 전 이후 매출에 대하여 부정사용보상 신청 가능합니다.
개인회원약관, 가맹점의 약관위반 등의 조사 진행 후 보상여부 및 금액이 결정됩니다."
후불교통카드 기능을 추가하고 싶습니다. 어떻게 하면 됩니까?,"후불교통카드 기능 추가를 원하는 경우, 사용 중인 카드를 교체발급 신청 하시기 바랍니다.
단, 후불교통카드 기능이 불가한 카드의 경우 가능한 카드로 추가 발급 받으셔야 합니다.
■ 채널 별 교체발급 방법
 - 영업점: 즉시 교체발급 가능(체크카드)
 - 모바일뱅킹: 카드 탈회 후 신규 발급
   (동백전 카드는 비교통 → 교통 재발급 가능)
 - 인터넷뱅킹 > 카드 > 추가/재발급신청 > 후불교통교체발급(신용카드)"
카드발급 신청은 어디에서 할 수 있나요?,"카드 발급 신청은 가까운 영업점 방문 또는 인터넷(모바일)뱅킹, 모바일웹에서 가능합니다."
카드 분실 신고 후 카드를 다시 찾을 경우에는 어떻게 해야 하나요?,"카드 분실신고 해제는 가까운 영업점 방문 또는 비씨카드사 고객센터, 모바일뱅킹 앱에서 가능합니다.
▶ 비씨카드사(ARS ☎1588-4515) > 3.분실해제
(안내 멘트에 따라 카드번호, 비밀번호, 주민번호, CVC번호 입력)
※ 신고일 포함 3영업일 이내 가능
▶ 모바일뱅킹 > 카드 > 카드관리 > 도난,분실 > 분실신고 취소
※ 등록일로부터 6개월 이내 가능"
주소 및 개인정보 변경은 어디서 하나요?,"카드 정보 변경은 가까운 영업점 방문 또는 비씨카드사 홈페이지, 인터넷(모바일)뱅킹, 비씨카드/부산은행 고객센터에서 가능합니다.
▶ 비씨카드 홈페이지 > 마이BC > 나의정보관리 > 회원정보변경
▶ 인터넷뱅킹 > 카드 > 카드관리 > 회원정보변경
▶ 모바일뱅킹 > 카드 > 카드관리 > 카드정보관리 > 부산BC카드 회원정보
▶ 비씨카드사 콜센터(☎1588-4000) 또는 당행 고객센터(☎1588-6200)"
후불하이패스 카드 신청은 어디서 하나요?,"후불하이패스 카드는 가까운 영업점 방문 또는 인터넷(모바일)뱅킹에서 발급 가능합니다.
단, 신용카드 미발급 고객의 경우, 신용카드 신규발급 심사를 통한 신용카드 발급 후 후불아이패스카드 신청 가능합니다."
후불교통카드 사용금액은 연말정산 받을수 있나요?,"네, 연말정산 소득공제 가능합니다"
선결제는 언제부터 가능합니까?,"선결제는 카드사에 매출접수된 날로부터 2영업일 째부터 가능합니다.
단, 현금서비스의 경우 취급 당일부터 가능합니다.
※ 결제일 1영업일 전 17시까지 신청 가능"
신용카드 결제계좌를 타행의 계좌로 바꿀 수 있나요?,"네, 타행 계좌로 변경 가능합니다.
결제일 당일 또는 연체 시 완납 후 익영업일부터 결제일 4영업일까지 가능합니다.
※ 구매신용카드 및 체크카드 회원은 타행결제계좌 신청 불가"
카드를 신규 발급시 한도는 얼마인가요?,"신용카드 신규 발급 신청 시 부여되는 한도는 고객님의 신용도와 소득증빙서류, 연체여부 등을 검토하여 부여되고 있습니다.
단기카드대출(현금서비스)한도는 총한도 금액의 40%(10만원 미만절사) 이내 차등 적용됩니다."
국내인과 외국인의 신용카드 발급 기준이 다른가요?,"외국인 및 재외국민 역시 내국인과 동일한 자격기준을 적용하여 심사합니다.
단, 연체발생 등 사후관리 등의 문제를 고려하여 향후 채권보전에 이상이 없다고 판단되는 회원에 한하여 제한적으로 발급하므로 자격조건이 되더라도 발급이 불가 할 수 있습니다."
미성년자도 체크카드 발급이 가능한가요?,"미성년자 체크카드 발급은 만14세 미만 본인 단독발급은 불가하며, 만14세이상 ~ 만18세이하는 본인 및 법정대리인 발급이 가능합니다.
※ 금융사고 예방을 위하여 미성년자 단독방문 시 내방지점 문의 필요"
해외에서 이용 가능한 체크카드도 있나요?,"네, 있습니다.
■ 프렌즈 체크(마스터)카드 : 해외물품구매 및 현금인출 가능
■ 하이체크 글로벌카드 : 오프라인 해외물품구매 및 현금인출 가능, BC카드사 대행발급 (배송기간 7일~10일 소요)
■ CUP(은련) 브랜드 체크카드 : 오프라인 해외물품구매 및 현금인출 가능
■ DFS(글로벌) 브랜드로 체크카드 : 현금인출만 가능"
신용카드 해외한도는 언제 복원되나요?,"신용카드 해외한도는 카드 결제일 상관 없이 매월 1일 한도 생성됩니다.
단, 총한도 내 이용 가능하므로 국내 이용으로 한도가 없을 경우 해외한도가 있어도 총한도 부족으로 사용 불가"
